"plant" "nectar_holder_depth_mm" "pollinator" "IT_mm"
"87" "Cistus_salvifolius" 0 "Halictus_pyrenaicus" 2.38
"88" "Cistus_salvifolius" 0 "Halictus_smaragdulus??" 1.76
"89" "Convolvulus_althaeoides" 4.92 "Andrena_sp" 1.35
"90" "Convolvulus_althaeoides" 4.92 "Lasioglossum_sp" 1.24
"91" "Convolvulus_althaeoides" 4.92 "Lasioglossum_sp" 0.98
"92" "Convolvulus_althaeoides" 4.92 "Lasioglossum_gemmeus" 1.15
"93" "Daucus_carota_carota" 0.5 "Lasioglossum_gemmeus" 1.16
"94" "Daucus_carota_carota" 0.5 "Lasioglossum_sp" 1.39
"95" "Daucus_carota_carota" 0.5 "Hylaeus_variegatus" 0.89
"96" "Daucus_carota_carota" 0.5 "Prosopis(Hylaeus)_sp" 1.27
"97" "Daucus_carota_carota" 0.5 "Lasioglossum_sp" 1.17
"98" "Daucus_carota_carota" 0.5 "Halictus_sp" 1.04
"99" "Daucus_carota_carota" 0.5 "Lasioglossum_sp" 1.41
"100" "Daucus_carota_carota" 0.5 "Lasioglossum_gemmeus" 1.24
"101" "Daucus_carota_carota" 0.5 "Lasioglossum_sp" 1.26
"102" "Daucus_carota_carota" 0.5 "Lasioglossum_sp" 1.35
"103" "Daucus_carota_carota" 0.5 "Hylaeus_nigritus" 1.14
"104" "Daucus_carota_carota" 0.5 "Lasioglossum_sp" 1.3
"105" "Daucus_carota_carota" 0.5 "Lasioglossum_sp" 1.22
"106" "Daucus_carota_carota" 0.5 "Andrena_sp" 1.19
"107" "Daucus_carota_carota" 0.5 "Halictus_sp" 1.21
"108" "Daucus_carota_carota" 0.5 "Halictus_gemmeus" 1.22
"109" "Daucus_carota_carota" 0.5 "Prosopis(Hylaeus)_variegatus" 1.31
"110" "Daucus_carota_carota" 0.5 "Hylaeus_bisinuatus" 0.88
"111" "Daucus_carota_carota" 0.5 "Apis_mellifera" 2.89
"112" "Daucus_carota_carota" 0.5 "Lasioglossum_sp" 1.32
"113" "Daucus_carota_carota" 0.5 "Lasioglossum_sp" 0.88
