"standardised_predator_length" "si_prey_length"
"456" 221 5
"457" 221 10
"458" 213 28
"459" 213 26
"460" 213 29
"461" 216 15
"462" 221 22
"463" 221 23
"464" 221 24
"465" 224 22
"466" 224 22
"467" 224 24
"468" 224 25
"469" 233 20
"470" 201 29
"471" 198 26
"472" 198 26
"473" 198 28
"474" 198 28
"475" 224 24
"476" 224 26
"477" 224 27
"478" 224 27
"479" 234 25
"480" 234 25
"481" 234 25
"482" 234 26
"483" 234 27
"484" 234 29
"485" 236 14
"486" 239 24
"487" 221 21
"488" 221 22
"489" 221 22
"490" 221 23
"491" 221 24
"492" 221 27
"493" 224 11
"494" 196 25
"495" 196 28
"496" 196 28
"497" 229 28
"498" 229 28
"499" 224 22
"500" 224 23
"501" 224 24
"502" 224 24
"503" 224 24
"504" 224 25
"505" 224 25
"506" 224 27
"507" 224 27
"508" 226 27
"509" 216 20
"510" 216 21
"511" 216 23
"512" 216 24
"513" 216 24
"514" 216 25
"515" 216 26
"516" 229 18
"517" 201 24
"518" 201 26
"519" 201 26
"520" 201 26
"521" 201 28
"522" 229 28
"523" 229 29
"524" 229 29
"525" 229 30
"526" 231 23
"527" 231 22
"528" 216 21
"529" 216 21
"530" 216 21
"531" 216 21
"532" 216 23
"533" 216 25
"534" 216 25
"535" 216 25
"536" 216 26
"537" 216 26
"538" 216 27
"539" 216 27
"540" 218 15
"541" 186 20
"542" 186 20
"543" 186 21
"544" 186 21
"545" 186 21
"546" 186 21
"547" 186 21
"548" 186 21
"549" 186 21
"550" 186 21
"551" 186 22
"552" 186 22
"553" 186 22
"554" 186 22
"555" 186 22
"556" 186 22
"557" 186 22
"558" 186 22
"559" 186 22
"560" 186 23
"561" 186 23
"562" 186 23
"563" 186 23
"564" 186 23
"565" 186 23
"566" 186 23
"567" 186 23
"568" 186 24
"569" 186 24
"570" 186 24
"571" 186 24
"572" 186 25
"573" 186 25
"574" 186 26
"575" 186 27
"576" 186 27
"577" 186 27
"578" 186 27
"579" 186 27
"580" 145 22
"581" 145 23
"582" 145 24
"583" 145 30
"584" 224 25
"585" 224 25
"586" 224 27
"587" 224 27
"588" 224 27
"589" 224 27
"590" 224 27
"591" 224 28
"592" 224 29
"593" 224 29
"594" 229 18
"595" 203 23
"596" 203 24
"597" 203 24
"598" 203 24
"599" 203 24
"600" 203 25
"601" 203 25
"602" 203 25
"603" 203 25
"604" 203 25
"605" 203 25
"606" 203 26
"607" 203 26
"608" 203 27
"609" 203 30
"610" 208 22
"611" 231 28
"612" 233 19
"613" 229 18
"614" 229 18
"615" 229 19
"616" 229 19
"617" 229 19
"618" 229 20
"619" 229 21
"620" 229 21
"621" 229 22
"622" 229 27
"623" 229 27
"624" 193 19
"625" 193 20
"626" 234 22
"627" 234 23
"628" 241 13
"629" 241 14
"630" 188 10
"631" 188 11
"632" 188 11
"633" 188 12
"634" 188 14
"635" 218 21
"636" 216 16
"637" 216 19
"638" 216 15
"639" 165 10
"640" 145 16
"641" 145 18
"642" 244 15
"643" 249 15
"644" 224 21
"645" 241 12
"646" 203 14
"647" 203 17
"648" 203 17
"649" 203 18
"650" 203 18
"651" 203 18
"652" 203 18
"653" 203 18
"654" 203 18
"655" 203 18
"656" 203 18
"657" 203 19
"658" 203 19
"659" 201 17
"660" 201 17
"661" 276 23
"662" 249 18
"663" 249 16
"664" 249 16
"665" 249 16
"666" 249 16
"667" 249 16
"668" 249 16
"669" 249 16
"670" 249 16
"671" 249 16
"672" 249 16
"673" 249 16
"674" 249 16
"675" 249 16
"676" 249 16
"677" 249 16
"678" 249 16
"679" 249 17
"680" 249 17
"681" 249 17
"682" 249 17
"683" 249 17
"684" 249 17
"685" 249 17
"686" 249 17
"687" 249 17
"688" 249 18
"689" 249 18
"690" 249 18
"691" 259 67
"692" 185 11
"693" 185 16
"694" 185 17
"695" 185 18
"696" 185 18
"697" 185 19
"698" 180 10
"699" 180 11
"700" 159 17
"701" 213 13
"702" 213 20
"703" 213 21
"704" 244 11
"705" 221 20
"706" 221 21
"707" 185 13
"708" 185 16
"709" 201 9
"710" 224 21
"711" 218 21
"712" 216 22
"713" 216 20
"714" 216 20
"715" 216 21
"716" 216 22
"717" 213 23
"718" 213 24
"719" 203 21
"720" 224 14
"721" 201 10
"722" 188 12
"723" 188 13
"724" 188 14
"725" 188 14
"726" 188 15
"727" 224 18
"728" 213 12
"729" 185 29
"730" 185 30
"731" 185 31
"732" 168 31
"733" 168 32
"734" 203 23
"735" 224 26
"736" 224 26
"737" 183 25
"738" 183 26
"739" 183 26
"740" 183 26
"741" 183 27
"742" 183 27
"743" 183 27
"744" 183 28
"745" 145 15
"746" 145 16
"747" 188 25
"748" 213 12
"749" 264 15
"750" 178 16
"751" 178 16
"752" 178 16
"753" 178 16
"754" 178 16
"755" 178 16
"756" 178 16
"757" 178 17
"758" 178 17
"759" 178 17
"760" 178 17
"761" 178 17
"762" 178 17
"763" 178 17
"764" 178 17
"765" 178 17
"766" 178 17
"767" 178 17
"768" 178 17
"769" 178 17
"770" 178 17
"771" 178 17
"772" 178 17
"773" 178 17
"774" 178 17
"775" 178 17
"776" 178 17
"777" 178 17
"778" 178 17
"779" 178 17
"780" 178 17
"781" 178 17
"782" 178 17
"783" 178 17
"784" 178 18
"785" 178 18
"786" 178 18
"787" 178 18
"788" 178 18
"789" 178 18
"790" 178 18
"791" 178 18
"792" 178 18
"793" 178 18
"794" 178 18
"795" 178 18
"796" 178 18
"797" 178 18
"798" 178 18
"799" 178 18
"800" 178 18
"801" 178 18
"802" 178 18
"803" 178 18
"804" 178 18
"805" 178 18
"806" 178 18
"807" 178 18
"808" 178 18
"809" 178 18
"810" 178 18
"811" 178 18
"812" 178 19
"813" 178 19
"814" 178 19
"815" 178 19
"816" 178 19
"817" 178 19
"818" 178 19
"819" 178 19
"820" 178 19
"821" 178 19
"822" 178 19
"823" 178 19
"824" 178 19
"825" 178 19
"826" 178 20
"827" 178 20
"828" 180 19
"829" 180 19
"830" 180 19
"831" 180 19
"832" 180 19
"833" 180 19
"834" 180 20
"835" 180 20
"836" 180 20
"837" 180 20
"838" 180 20
"839" 180 20
"840" 180 20
"841" 180 21
"842" 180 29
"843" 196 14
"844" 196 15
"845" 196 15
"846" 196 15
"847" 196 16
"848" 196 16
"849" 196 16
"850" 196 16
"851" 196 16
"852" 196 16
"853" 196 16
"854" 196 16
"855" 196 17
"856" 196 17
"857" 196 17
"858" 196 17
"859" 196 17
"860" 196 17
"861" 196 17
"862" 196 17
"863" 196 17
"864" 196 17
"865" 196 17
"866" 196 17
"867" 196 17
"868" 196 17
"869" 196 17
"870" 196 18
"871" 196 18
"872" 196 18
"873" 196 18
"874" 196 18
"875" 196 18
"876" 196 18
"877" 196 18
"878" 196 18
"879" 196 18
"880" 196 18
"881" 196 18
"882" 196 18
"883" 196 19
"884" 196 19
"885" 196 19
"886" 196 20
"887" 196 20
"888" 196 20
"889" 206 14
"890" 196 17
"891" 196 17
"892" 196 17
"893" 196 18
"894" 206 14
"895" 206 14
"896" 206 14
"897" 206 15
"898" 206 15
"899" 206 15
"900" 206 15
"901" 206 15
"902" 206 15
"903" 206 15
"904" 206 15
"905" 206 16
"906" 206 16
"907" 206 16
"908" 206 16
"909" 206 16
"910" 206 16
"911" 206 16
"912" 206 16
"913" 206 16
"914" 206 16
"915" 206 16
"916" 206 16
"917" 206 16
"918" 206 16
"919" 206 16
"920" 206 16
"921" 206 16
"922" 206 16
"923" 206 16
"924" 206 17
"925" 206 17
"926" 206 17
"927" 206 17
"928" 206 17
"929" 206 17
"930" 206 17
"931" 206 17
"932" 206 17
"933" 206 17
"934" 206 17
"935" 206 17
"936" 206 17
"937" 206 17
"938" 206 18
"939" 206 18
"940" 206 18
"941" 206 18
"942" 206 19
"943" 206 19
"944" 212 12
"945" 212 12
"946" 212 13
"947" 212 13
"948" 212 13
"949" 212 13
"950" 212 13
"951" 212 13
"952" 212 13
"953" 212 13
"954" 212 13
"955" 212 14
"956" 212 14
"957" 212 14
"958" 212 14
"959" 212 14
"960" 212 14
"961" 212 14
"962" 212 14
"963" 212 14
"964" 212 14
"965" 212 15
"966" 218 16
"967" 218 17
"968" 218 17
"969" 218 17
"970" 218 17
"971" 218 17
"972" 218 18
"973" 218 18
"974" 218 18
"975" 218 18
"976" 218 19
"977" 218 19
"978" 218 19
"979" 218 19
"980" 231 15
"981" 231 15
"982" 231 15
"983" 231 15
"984" 231 15
"985" 231 15
"986" 231 16
"987" 231 16
"988" 231 16
"989" 231 16
"990" 231 16
"991" 231 16
"992" 231 16
"993" 231 16
"994" 231 16
"995" 231 16
"996" 231 16
"997" 231 16
"998" 231 16
"999" 231 16
"1000" 231 16
"1001" 231 17
"1002" 231 17
"1003" 231 17
"1004" 231 17
"1005" 231 17
"1006" 231 17
"1007" 231 17
"1008" 231 17
"1009" 231 17
"1010" 231 17
"1011" 231 17
"1012" 231 17
"1013" 231 17
"1014" 231 17
"1015" 231 17
"1016" 231 17
"1017" 231 17
"1018" 231 17
"1019" 231 17
"1020" 231 17
"1021" 231 17
"1022" 231 17
"1023" 231 18
"1024" 231 18
"1025" 231 18
"1026" 231 18
"1027" 231 18
"1028" 231 18
"1029" 231 18
"1030" 231 18
"1031" 231 19
"1032" 241 5
"1033" 242 12
"1034" 242 12
"1035" 242 13
"1036" 242 14
"1037" 242 14
"1038" 242 14
"1039" 242 14
"1040" 242 14
"1041" 242 14
"1042" 242 14
"1043" 242 15
"1044" 242 15
"1045" 242 15
"1046" 242 15
"1047" 242 15
"1048" 242 15
"1049" 242 15
"1050" 242 15
"1051" 242 15
"1052" 242 15
"1053" 242 15
"1054" 242 16
"1055" 242 12
"1056" 242 13
"1057" 242 13
"1058" 242 13
"1059" 242 13
"1060" 242 13
"1061" 242 14
"1062" 242 14
"1063" 242 14
"1064" 242 14
"1065" 242 14
"1066" 242 15
"1067" 242 15
"1068" 242 15
"1069" 242 16
"1070" 242 16
"1071" 242 16
"1072" 242 16
"1073" 242 16
"1074" 242 17
"1075" 244 28
"1076" 246 13
"1077" 246 13
"1078" 246 13
"1079" 246 14
"1080" 246 14
"1081" 246 14
"1082" 246 14
"1083" 246 14
"1084" 246 15
"1085" 246 15
"1086" 246 15
"1087" 246 15
"1088" 246 15
"1089" 246 15
"1090" 246 15
"1091" 246 15
"1092" 246 15
"1093" 246 15
"1094" 246 16
"1095" 246 14
"1096" 246 14
"1097" 246 15
"1098" 246 15
"1099" 246 15
"1100" 246 16
"1101" 249 24
"1102" 257 18
"1103" 257 18
"1104" 257 18
"1105" 257 18
"1106" 257 18
"1107" 257 19
"1108" 257 19
"1109" 257 19
"1110" 257 19
"1111" 257 20
"1112" 257 20
"1113" 257 20
"1114" 257 21
"1115" 257 21
"1116" 257 68
"1117" 260 20
"1118" 260 20
"1119" 260 20
"1120" 260 20
"1121" 260 20
"1122" 260 20
"1123" 260 20
"1124" 260 20
"1125" 260 20
"1126" 260 20
"1127" 260 21
"1128" 260 21
"1129" 260 21
"1130" 260 21
"1131" 260 21
"1132" 260 21
"1133" 260 21
"1134" 260 21
"1135" 260 21
"1136" 263 14
"1137" 263 15
"1138" 263 18
"1139" 263 18
"1140" 263 18
"1141" 263 18
"1142" 263 18
"1143" 263 19
"1144" 263 19
"1145" 263 19
"1146" 263 19
"1147" 263 19
"1148" 263 19
"1149" 263 19
"1150" 263 19
"1151" 263 19
"1152" 263 19
"1153" 263 20
"1154" 263 20
"1155" 263 20
"1156" 263 20
"1157" 263 20
"1158" 263 20
"1159" 263 20
"1160" 263 20
"1161" 263 20
"1162" 263 20
"1163" 263 20
"1164" 263 20
"1165" 263 20
"1166" 263 20
"1167" 263 20
"1168" 263 20
"1169" 263 21
"1170" 263 21
"1171" 263 21
"1172" 263 21
"1173" 263 21
"1174" 263 21
"1175" 263 21
"1176" 263 21
"1177" 263 21
"1178" 263 21
"1179" 263 22
"1180" 263 22
"1181" 263 23
"1182" 263 23
"1183" 267 13
"1184" 267 14
"1185" 267 19
"1186" 267 20
"1187" 267 20
"1188" 267 20
"1189" 267 20
"1190" 267 21
"1191" 267 21
"1192" 267 22
"1193" 267 23
"1194" 267 55
"1195" 269 11
"1196" 269 14
"1197" 269 15
"1198" 269 15
"1199" 269 18
"1200" 269 18
"1201" 269 19
"1202" 269 19
"1203" 269 19
"1204" 269 19
"1205" 269 19
"1206" 269 19
"1207" 269 19
"1208" 269 19
"1209" 269 19
"1210" 269 20
"1211" 269 20
"1212" 269 20
"1213" 269 20
"1214" 269 21
"1215" 269 21
"1216" 269 42
"1217" 269 43
"1218" 249 24
"1219" 246 12
"1220" 188 29
"1221" 196 14
"1222" 188 27
"1223" 206 36
"1224" 257 17
"1225" 212 12
"1226" 269 12
"1227" 269 13
"1228" 269 13
"1229" 269 13
"1230" 269 14
"1231" 269 14
"1232" 269 15
"1233" 269 15
"1234" 269 16
"1235" 269 16
"1236" 269 16
"1237" 269 16
"1238" 269 16
"1239" 269 17
"1240" 269 17
"1241" 269 18
"1242" 269 19
"1243" 178 15
"1244" 196 15
"1245" 241 11
"1246" 241 12
"1247" 242 12
"1248" 267 18
"1249" 267 19
"1250" 206 25
"1251" 282 53
"1252" 263 14
"1253" 269 46
"1254" 269 47
"1255" 282 14
"1256" 282 45
"1257" 282 54
"1258" 297 78
"1259" 305.09 60
"1260" 260 19
"1261" 104 52
"1262" 269 12
"1263" 251 17
"1264" 251 17
"1265" 251 17
"1266" 251 18
"1267" 251 19
"1268" 251 30
"1269" 231 20
"1270" 259 16
"1271" 259 16
"1272" 259 17
"1273" 259 17
"1274" 259 17
"1275" 259 18
"1276" 259 18
"1277" 259 18
"1278" 259 32
"1279" 226 14
"1280" 226 15
"1281" 226 18
"1282" 226 19
"1283" 251 18
"1284" 251 18
"1285" 251 19
"1286" 244 16
"1287" 244 17
"1288" 244 18
"1289" 244 18
"1290" 267 17
"1291" 244 17
"1292" 244 17
"1293" 244 17
"1294" 246 14
"1295" 259 4
"1296" 259 5
"1297" 251 7
"1298" 251 17
"1299" 259 6
"1300" 259 16
"1301" 277 5
"1302" 254 5
"1303" 254 22
"1304" 277 5
"1305" 277 5
"1306" 277 6
"1307" 303 79
"1308" 124 9
"1309" 234 4
"1310" 259 42
"1311" 249 80
"1312" 254 5
"1313" 264 24
"1314" 244 16
"1315" 239 8
"1316" 254 26
"1317" 254 46
"1318" 218 18
"1319" 246 25
"1320" 241 26
"1321" 231 25
"1322" 246 19
"1323" 246 35
"1324" 246 19
"1325" 246 30
"1326" 224 22
"1327" 246 24
"1328" 224 24
"1329" 246 15
"1330" 246 18
"1331" 246 20
"1332" 246 23
"1333" 246 18
"1334" 42 4.8
"1335" 213 16
"1336" 272 24
"1337" 277 5
"1338" 234 11
"1339" 251 49
"1340" 234 9
"1341" 259 48
"1342" 246 5
"1343" 251 6
"1344" 251 77
"1345" 253 19
"1346" 259 3
"1347" 248 29
"1348" 262 29
"1349" 231 41
"1350" 264 18
"1351" 251 70
"1352" 124 10
"1353" 124 10
"1354" 124 10
"1355" 124 11
"1356" 124 11
"1357" 124 11
"1358" 124 12
"1359" 124 12
"1360" 124 12
"1361" 124 12
"1362" 124 12
"1363" 124 12
"1364" 124 12
"1365" 124 13
"1366" 124 13
"1367" 124 13
"1368" 124 13
"1369" 124 13
"1370" 124 13
"1371" 124 13
"1372" 124 13
"1373" 124 13
"1374" 124 14
"1375" 124 14
"1376" 124 14
"1377" 130 23
"1378" 131 11
"1379" 131 11
"1380" 131 12
"1381" 131 12
"1382" 131 12
"1383" 131 12
"1384" 131 12
"1385" 131 12
"1386" 131 12
"1387" 131 12
"1388" 131 12
"1389" 131 13
"1390" 131 13
"1391" 131 13
"1392" 131 13
"1393" 131 13
"1394" 131 14
"1395" 131 14
"1396" 131 14
"1397" 131 14
"1398" 131 14
"1399" 131 14
"1400" 131 14
"1401" 131 14
"1402" 131 14
"1403" 131 14
"1404" 131 14
"1405" 131 15
"1406" 131 15
"1407" 131 15
"1408" 131 15
"1409" 131 15
"1410" 131 16
"1411" 131 16
"1412" 131 12
"1413" 131 12
"1414" 131 12
"1415" 131 12
"1416" 131 12
"1417" 131 12
"1418" 131 12
"1419" 131 12
"1420" 131 13
"1421" 131 13
"1422" 131 13
"1423" 131 13
"1424" 131 13
"1425" 131 13
"1426" 131 13
"1427" 131 13
"1428" 131 13
"1429" 131 13
"1430" 131 13
"1431" 131 13
"1432" 131 13
"1433" 131 14
"1434" 131 14
"1435" 131 14
"1436" 131 14
"1437" 131 14
"1438" 131 14
"1439" 131 14
"1440" 131 14
"1441" 131 14
"1442" 131 14
"1443" 131 14
"1444" 131 14
"1445" 131 14
"1446" 131 15
"1447" 131 15
"1448" 131 15
"1449" 131 15
"1450" 131 15
"1451" 131 15
"1452" 131 15
"1453" 131 16
"1454" 131 16
"1455" 131 17
"1456" 132 8
"1457" 132 9
"1458" 132 9
"1459" 132 9
"1460" 132 9
"1461" 132 9
"1462" 132 9
"1463" 132 9
"1464" 132 9
"1465" 132 9
"1466" 132 9
"1467" 132 9
"1468" 132 10
"1469" 132 10
"1470" 132 10
"1471" 132 10
"1472" 132 10
"1473" 132 10
"1474" 132 10
"1475" 132 10
"1476" 132 10
"1477" 132 10
"1478" 132 10
"1479" 132 11
"1480" 132 11
"1481" 132 11
"1482" 132 11
"1483" 132 11
"1484" 132 11
"1485" 132 11
"1486" 132 11
"1487" 132 11
"1488" 132 11
"1489" 132 11
"1490" 132 11
"1491" 132 11
"1492" 132 11
"1493" 132 11
"1494" 132 11
"1495" 132 12
"1496" 132 12
"1497" 132 12
"1498" 132 12
"1499" 132 12
"1500" 132 12
"1501" 132 12
"1502" 132 13
"1503" 132 13
"1504" 132 13
