"standardised_predator_length" "si_prey_length"
"1" 93.99 11.259
"2" 95.195 8.4443
"3" 100.02 10.595
"4" 34.945 9.3301
"5" 31.33 8.69
"6" 33.74 8.1465
"7" 32.535 7.6371
"8" 35.548 8.4262
"9" 33.74 8.858
"10" 33.74 8.2417
"11" 34.945 7.7439
"12" 33.74 7.1797
"13" 38.56 6.2192
"14" 34.343 3.1762
"15" 31.33 8.1465
"16" 31.33 8.6037
"17" 36.15 7.5274
"18" 36.15 8.69
"19" 33.138 7.6371
"20" 34.343 8.3149
"21" 33.138 6.7982
"22" 101.82 16.008
"23" 92.785 18.094
"24" 92.785 13.197
"25" 101.22 15.272
"26" 93.99 15.57
"27" 93.388 12.2
"28" 97.605 14.758
"29" 101.22 15.299
"30" 100.02 16.652
"31" 98.81 12.994
"32" 95.195 12.999
"33" 95.195 12.4
"34" 60.25 11.457
"35" 36.15 2.7346
"36" 36.15 5.3518
"37" 34.343 2.7346
"38" 36.15 5.7547
"39" 38.56 4.8761
"40" 38.56 5.9709
"41" 38.56 6.8391
"42" 59.045 5.8935
"43" 59.045 5.9709
"44" 59.045 6.9021
"45" 59.045 7.0258
"46" 59.045 7.3511
"47" 67.48 9.3306
"48" 92.785 9.8199
"49" 94.593 8.7528
"50" 28.92 4.7651
"51" 78.325 14.283
"52" 78.325 2.7675
"53" 93.99 19.502
"54" 73.505 7.6447
"55" 38.56 5.0982
"56" 67.48 6.9606
"57" 102.43 8.2818
"58" 98.81 11.522
"59" 89.894 19.143
"60" 111.93 19.379
"61" 51 6.5
"62" 108.45 17.5
"63" 54.514 13.06
"64" 55.674 13.148
"65" 56.254 10.742
"66" 56.254 10.817
"67" 55.094 10.058
"68" 55.094 10.091
"69" 55.094 9.8036
"70" 92.214 19.696
"71" 96.274 13.084
"72" 80.614 22.255
"73" 96.854 19.074
"74" 58.574 10.643
"75" 57.414 13.264
"76" 58.574 13.664
"77" 58.574 16
"78" 56.254 15.591
"79" 78.294 21.138
"80" 58.574 13.694
"81" 56.254 14.807
"82" 59.734 15.481
"83" 60.894 13.987
"84" 57.414 16.688
"85" 66.694 15.951
"86" 103.81 19.656
"87" 74.814 14.201
"88" 86.414 15.908
"89" 86.414 18.682
"90" 101.49 14.217
"91" 114.25 20.982
"92" 94.534 13.5
"93" 89.894 17
"94" 55.094 13.598
"95" 58.574 17.615
"96" 85.254 21.2
"97" 102.65 11.6
"98" 93.374 15.8
"99" 87.574 11.389
"100" 87.574 13.397
"101" 78.294 15.808
"102" 78.294 12.092
"103" 78.294 13.699
"104" 78.294 13.297
"105" 67.854 14.703
"106" 79.454 22.281
"107" 55.094 13.92
"108" 78.294 12.9
"109" 87.574 14.32
"110" 89.894 13.397
"111" 65.534 12.986
"112" 88.734 19.644
"113" 88.734 17.234
"114" 92.214 13.719
"115" 92.214 16.621
"116" 62.054 12.743
"117" 62.054 13.044
"118" 57.414 13.184
"119" 56.254 10.404
"120" 56.254 11.127
"121" 66.694 7.1465
"122" 66.694 6.419
"123" 92.214 10.474
"124" 92.214 10.561
"125" 92.214 10.816
"126" 92.214 10.981
"127" 92.214 11.686
"128" 92.214 11.834
"129" 92.214 12.541
"130" 92.214 12.94
"131" 92.214 13.197
"132" 92.214 13.569
"133" 92.214 13.81
"134" 92.214 14.16
"135" 92.214 14.33
"136" 92.214 14.772
"137" 92.214 15.3
"138" 92.214 15.3
"139" 92.214 15.402
"140" 92.214 15.949
"141" 92.214 16.284
"142" 56.254 3.9764
"143" 96.854 9.6274
"144" 87.574 17.458
"145" 121.21 18.996
"146" 113.27 9.5815
"147" 113.27 9.5815
"148" 131.54 13.676
"149" 131.54 16.611
"150" 131.54 13.405
"151" 91.959 15.607
"152" 96.222 12.5
"153" 96.222 11.6
"154" 96.222 13.676
"155" 130.33 15.57
"156" 110.84 17.5
"157" 110.84 21
"158" 93.786 13.598
"159" 109.62 15.57
"160" 104.75 19
"161" 62.118 13.259
"162" 63.336 14.444
"163" 85.26 15.416
"164" 104.75 18.3
"165" 120.58 12.765
"166" 70.644 12.464
"167" 87.696 12.664
"168" 87.696 12.524
"169" 82.824 13.102
"170" 116.93 18.625
"171" 103.58 20.6
"172" 104.83 16.812
"173" 102.34 19
"174" 97.344 17.615
"175" 42.175 9
"176" 46.995 8.5
"177" 49.405 12.27
"178" 8.0199 0.66764
"179" 50.61 15.844
"180" 54.225 10.55
"181" 60.25 14.951
"182" 62.66 13.843
"183" 63.865 20.292
"184" 65.07 16.84
"185" 65.07 12.678
"186" 65.07 19.235
"187" 65.07 13.843
"188" 65.07 9.5492
"189" 65.07 9.9184
"190" 65.07 10.103
"191" 66.275 16.872
"192" 67.48 15.84
"193" 67.48 21.855
"194" 67.48 11
"195" 67.48 6.4543
"196" 68.685 13.721
"197" 68.685 14.217
"198" 68.685 11.687
"199" 73.505 22.28
"200" 73.505 10.55
"201" 75.915 8.2876
"202" 77.12 16.891
"203" 78.325 18.85
"204" 79.53 19.493
"205" 80.735 10.845
"206" 80.735 13.363
"207" 83.145 11.765
"208" 83.145 14.31
"209" 84.35 13.4
"210" 84.35 19.386
"211" 84.35 17.169
"212" 84.35 14.12
"213" 85.555 10.782
"214" 85.555 19.109
"215" 86.76 13.843
"216" 89.17 12.449
"217" 89.17 17.464
"218" 89.17 16.445
"219" 90.375 12.052
"220" 90.375 13.652
"221" 90.375 12.582
"222" 91.58 19.386
"223" 93.99 21.52
"224" 95.195 19.629
"225" 97.605 20
"226" 97.605 18.333
"227" 28.92 4.7651
"228" 31.33 11.238
"229" 31.33 11.071
"230" 31.33 11.21
"231" 32.535 5.47
"232" 32.535 10.933
"233" 33.138 1.9937
"234" 33.138 10.933
"235" 33.138 10.739
"236" 33.74 11.099
"237" 33.74 11.293
"238" 33.74 10.822
"239" 34.343 10.298
"240" 34.945 6.2721
"241" 34.945 11.487
"242" 35.548 11.155
"243" 36.15 10.905
"244" 36.15 11.238
"245" 36.15 6.1824
"246" 36.15 5.6291
"247" 38.56 10.628
"248" 38.56 6.7512
"249" 38.56 6.0785
"250" 38.56 6.453
"251" 39.765 5.0982
"252" 59.045 19.859
"253" 59.045 6.423
"254" 59.045 6.8574
"255" 59.045 7.0821
"256" 60.25 10.123
"257" 67.48 6.9606
"258" 67.48 8.3178
"259" 73.505 7.6447
"260" 78.325 14.283
"261" 89.17 6.9
"262" 92.785 9.8199
"263" 92.785 13.196
"264" 92.785 18.094
"265" 93.388 12.2
"266" 93.99 19.502
"267" 93.99 15.57
"268" 93.99 12.313
"269" 94.593 8.7528
"270" 95.195 12.4
"271" 95.195 12.999
"272" 97.605 14.758
"273" 98.81 12.993
"274" 98.81 11.826
"275" 100.02 16.652
"276" 100.02 11.986
"277" 101.22 15.272
"278" 101.22 15.299
"279" 8.0973 0.35408
"280" 8.1637 0.83213
"281" 7.6217 0.40871
"282" 7.6217 0.65522
"283" 7.6217 0.69362
"284" 7.6217 0.7424
"285" 6.4491 0.50047
"286" 6.4491 0.71887
"287" 7.3562 0.28226
"288" 7.3562 0.43863
"289" 7.3562 0.47348
"290" 8.0199 0.74082
"291" 8.0199 0.87187
"292" 8.0199 0.93198
"293" 7.3673 0.67409
"294" 7.3673 0.78734
"295" 7.3673 0.8189
"296" 7.6327 0.31719
"297" 7.6327 0.74244
"298" 7.6327 0.82875
"299" 7.6327 1.1138
"300" 7.4668 0.58966
"301" 7.4668 0.5945
"302" 7.4668 0.62392
"303" 7.4668 0.64914
"304" 7.4668 0.66507
"305" 7.4668 0.78561
"306" 6.781 0.18054
"307" 6.781 0.18056
"308" 6.781 0.18835
"309" 6.781 0.21026
"310" 6.781 0.21817
"311" 6.781 0.61151
"312" 6.781 0.65572
"313" 6.781 0.69616
"314" 6.781 0.8624
"315" 7.3451 0.93908
"316" 6.6925 0.84664
"317" 7.3119 1.1864
"318" 7.3119 1.6526
"319" 7.4889 0.66913
"320" 7.6549 0.45985
"321" 7.6549 1.6811
"322" 8.1416 0.36975
"323" 155 11
"324" 155 11
"325" 155 11
"326" 155 12
"327" 155 12
"328" 155 12
"329" 155 12
"330" 155 12
"331" 155 12
"332" 155 13
"333" 155 13
"334" 155 13
"335" 155 13
"336" 155 13
"337" 155 13
"338" 155 13
"339" 155 14
"340" 155 14
"341" 155 14
"342" 173 9
"343" 173 10
"344" 173 10
"345" 173 10
"346" 173 10
"347" 173 10
"348" 173 11
"349" 173 11
"350" 173 11
"351" 173 11
"352" 173 12
"353" 173 12
"354" 173 12
"355" 173 13
"356" 173 13
"357" 173 13
"358" 173 13
"359" 173 13
"360" 173 13
"361" 173 14
"362" 173 14
"363" 173 14
"364" 173 15
"365" 173 15
"366" 185 25
"367" 185 27
"368" 185 27
"369" 185 28
"370" 185 28
"371" 276 23
"372" 276 23
"373" 276 24
"374" 276 24
"375" 276 24
"376" 276 25
"377" 276 25
"378" 276 25
"379" 276 25
"380" 276 26
"381" 241.71 14
"382" 178 5
"383" 163 22
"384" 163 24
"385" 150 21
"386" 150 22
"387" 150 23
"388" 150 23
"389" 150 23
"390" 150 24
"391" 119 30
"392" 208 23
"393" 208 23
"394" 208 23
"395" 208 24
"396" 208 24
"397" 208 24
"398" 208 24
"399" 208 25
"400" 208 25
"401" 208 25
"402" 208 25
"403" 208 26
"404" 208 26
"405" 208 27
"406" 208 27
"407" 208 27
"408" 208 27
"409" 208 28
"410" 208 28
"411" 212 12
"412" 213 34
"413" 203 26
"414" 203 27
"415" 203 27
"416" 203 27
"417" 203 28
"418" 203 28
"419" 203 31
"420" 201 27
"421" 221 21
"422" 221 22
"423" 221 23
"424" 221 23
"425" 221 23
"426" 221 23
"427" 221 24
"428" 221 25
"429" 221 25
"430" 221 25
"431" 221 26
"432" 221 26
"433" 221 26
"434" 221 27
"435" 221 27
"436" 224 11
"437" 173 25
"438" 173 26
"439" 173 26
"440" 213 29
"441" 218 22
"442" 218 23
"443" 218 24
"444" 218 25
"445" 218 25
"446" 218 27
"447" 216 23
"448" 216 24
"449" 216 25
"450" 216 28
"451" 216 28
"452" 218 13
"453" 218 22
"454" 218 24
"455" 218 25
